epoch,train_loss,val_loss
1,0.29801100958138704,0.20075525769165584
2,0.1959021119400859,0.16872823451246535
3,0.17730153864249587,0.1573821689401354
4,0.1691157966852188,0.15287420792239054
5,0.16447464330121875,0.14940824678965978
6,0.16014556121081114,0.14749558482851302
7,0.1561937779188156,0.14603290387562343
8,0.15579447243362665,0.14494151728493826
9,0.15242910664528608,0.14267263880797795
10,0.1521670138463378,0.1413071538720812
11,0.15064041735604405,0.1406231543847493
12,0.14800764550454915,0.13990361562797002
13,0.14656937308609486,0.1398343944123813
14,0.14606989035382867,0.13908630077328002
15,0.14401889964938164,0.137891700225217
16,0.14150893315672874,0.1368719201002802
17,0.14089814736507833,0.13724431821278163
18,0.14015752845443785,0.1365263302411352
19,0.13811242044903338,0.13686686434916087
20,0.13807850959710777,0.13499915599822998
21,0.13711321912705898,0.13784600368567876
22,0.13556303270161152,0.13757534537996566
23,0.13649241882376373,0.13607611932924815
24,0.1348198044579476,0.13408359246594564
25,0.1331978775560856,0.13781166821718216
26,0.13446023571304977,0.13615618965455464
27,0.13185897772200406,0.1332605310848781
28,0.13052007649093866,0.13525053965193884
29,0.12890389445237815,0.13459316215344838
30,0.12896106159314513,0.1348874962755612
31,0.12800473859533668,0.1345994131905692
32,0.12754195812158287,0.1357171524848257
33,0.12610636348836124,0.13320270819323404
34,0.126394082326442,0.13441953275884902
35,0.1252472687046975,0.13367145934275218
36,0.12468667700886726,0.13417560820068633
37,0.12383019574917853,0.13511088809796742
38,0.1254046130925417,0.13345333082335337
39,0.12287995778024197,0.13304255583456584
40,0.1234971007797867,0.13446767734629766
