iter	RMSE
172	0.2173599456
173	0.2173479383
174	0.2173300077
175	0.2173175323
176	0.2173122435
177	0.2172840889
178	0.2172787044
179	0.2172664071
180	0.2172615011
181	0.2172479414
182	0.2172300878
183	0.21722323
184	0.2171782125
185	0.2171601368
186	0.2171420461
187	0.217132435
188	0.2171247581
189	0.2171025785
190	0.2170950873
191	0.2170879961
192	0.2170662925
193	0.2170546796
194	0.2170269154
195	0.2170172723
196	0.217002737
197	0.2169944099
198	0.216988772
199	0.2169782937
200	0.2169714948
201	0.2169557692
202	0.2169431324
203	0.2169138303
204	0.2168838263
205	0.2168766891
206	0.2168628238
207	0.2168355588
208	0.2168181912
209	0.2168109948
210	0.2167993409
211	0.2167867411
212	0.2167718966
213	0.2167560595
214	0.2167424717
215	0.216729385
216	0.2166875322
217	0.2166751043
218	0.216661357
219	0.2166385566
220	0.2166298685
221	0.2166199907
222	0.2166127267
223	0.2165861494
224	0.2165756776
225	0.2165587941
226	0.2165480308
227	0.2165398692
228	0.2165321547
229	0.2165070037
230	0.2164990179
231	0.2164807552
232	0.2164495509
233	0.216433036
234	0.2164243812
235	0.2164163606
236	0.2164050231
237	0.2163839675
238	0.2163708137
239	0.2163452737
240	0.2163302334
241	0.2162994055
242	0.216280549
243	0.2162566576
244	0.216242541
245	0.2162341623
246	0.2162313857
247	0.216222925
248	0.2162138407
249	0.2162024805
250	0.2161895783
251	0.2161827754
252	0.2161705364
253	0.2161603714
254	0.2161463221
255	0.2161319545
256	0.2161233006
257	0.2160947494
258	0.2160865132
259	0.2160714639
260	0.2160549977
261	0.2160254086
262	0.2160114507
263	0.2159958384
264	0.2159792972
265	0.2159732198
266	0.2159558658
267	0.215945421
268	0.2159324783
269	0.2159150331
270	0.2158929734
271	0.2158842648
272	0.2158708365
273	0.2158458199
274	0.2158360825
275	0.2158327255
276	0.2158206665
277	0.215808926
278	0.2158005091
279	0.2157958437
280	0.2157716985
281	0.2157547787
282	0.2157345335
283	0.2157045728
284	0.2156799557
285	0.215656763
286	0.2156470777
287	0.2156362943
288	0.2156309011
289	0.215616945
290	0.2155967519
291	0.2155849862
292	0.2155694374
293	0.215553187
294	0.2155361735
295	0.2155288833
296	0.2155177246
297	0.215497452
298	0.2154868614
299	0.21547405
300	0.2154623213
301	0.2154465682
302	0.2154348529
303	0.2154225334
304	0.2154093869
305	0.2154053255
306	0.2153860395
307	0.2153742196
308	0.215366377
309	0.2153502379
310	0.2153360881
311	0.2153102983
312	0.2152888815
313	0.2152741942
314	0.2152631569
315	0.2152438772
316	0.2152336254
317	0.2152232471
318	0.2152132441
319	0.2151895396
320	0.2151790567
321	0.2151652795
322	0.2151513577
323	0.2151389572
324	0.2151272016
325	0.2151201727
326	0.215100438
327	0.2150863448
328	0.2150764468
329	0.2150682049
330	0.2150604473
331	0.215046743
332	0.2150351109
333	0.2150151402
334	0.215006207
335	0.2149851445
336	0.2149734256
337	0.2149610405
338	0.2149463053
339	0.2149289527
340	0.2149172993
341	0.2149060854
342	0.2148970624
343	0.214887312
344	0.2148690384
345	0.2148491772
346	0.2148360234
347	0.2148195173
348	0.2148121099
349	0.2147992827
350	0.2147882469
351	0.2147710429
352	0.2147588666
353	0.214748526
354	0.2147367903
355	0.2147237965
356	0.2147171629
357	0.2147068079
358	0.214692345
359	0.2146810361
360	0.2146690647
361	0.2146581379
362	0.2146425717
363	0.2146363399
364	0.2146234214
365	0.2146142161
366	0.2146027735
367	0.2145952545
368	0.2145882904
369	0.2145795197
370	0.2145681063
371	0.2145569419
372	0.2145479407
373	0.2145364454
374	0.2145290134
375	0.2145190706
376	0.2145126111
377	0.2144959611
378	0.2144894151
379	0.2144834344
380	0.2144724533
381	0.2144574713
382	0.2144475149
383	0.2144344517
384	0.2144237755
385	0.2144126203
386	0.2143987279
387	0.2143917613
388	0.2143848994
389	0.2143772456
390	0.2143696339
391	0.2143642692
392	0.2143611319
393	0.2143560537
394	0.2143428814
395	0.2143310283
396	0.2143212759
397	0.2143131988
398	0.2143051522
399	0.2142995674
400	0.2142948801
401	0.2142816626
402	0.2142716178
403	0.2142609445
404	0.214244649
405	0.2142380422
406	0.2142285759
407	0.2142156318
408	0.2142123844
409	0.2141985975
410	0.2141901067
411	0.2141795353
412	0.2141697649
413	0.214161077
414	0.2141538074
415	0.2141459158
416	0.2141408088
417	0.2141319309
418	0.2141222
419	0.2141141737
420	0.2141023311
421	0.2140917212
422	0.2140765347
423	0.2140609055
424	0.2140492166
425	0.2140418529
426	0.2140369486
427	0.2140325887
428	0.2140273207
429	0.2140135111
430	0.2140077201
431	0.2139969488
432	0.2139921182
433	0.2139853248
434	0.2139732252
435	0.2139653301
436	0.2139599821
437	0.2139512134
438	0.2139343271
439	0.2139217724
440	0.2139071378
441	0.2138997675
442	0.2138900847
443	0.2138801998
444	0.2138710844
445	0.2138630386
446	0.2138552071
447	0.2138493104
448	0.2138455225
449	0.2138353957
450	0.2138204067
451	0.2138110147
452	0.2137974119
453	0.2137892097
454	0.2137820635
455	0.2137748167
456	0.2137692539
457	0.2137608789
458	0.2137512144
459	0.2137459977
460	0.2137406172
461	0.2137320524
462	0.2137249297
463	0.2137181916
464	0.2137125422
465	0.2137086435
466	0.2136971663
467	0.2136913804
468	0.2136818779
469	0.2136755091
470	0.2136618823
471	0.2136532232
472	0.2136457227
473	0.2136365475
474	0.2136318626
475	0.2136271805
476	0.2136221175
477	0.2136095067
478	0.2135999357
479	0.2135919694
480	0.2135750984
481	0.2135684968
482	0.2135572675
483	0.2135484793
484	0.2135395051
485	0.2135338361
486	0.2135264365
487	0.2135180097
488	0.2135090539
489	0.2134995396
490	0.213493535
491	0.2134873375
492	0.2134794464
493	0.2134750009
494	0.2134740236
495	0.2134616932
496	0.2134494839
497	0.2134402203
498	0.2134306291
499	0.2134256455
500	0.2134199935
501	0.2134177881
502	0.2134114816
503	0.2134041469
504	0.2133971062
505	0.2133870704
506	0.2133783881
507	0.2133729604
508	0.2133683291
509	0.2133606152
510	0.2133514257
511	0.2133459789
512	0.2133385512
513	0.213329993
514	0.2133230413
515	0.2133219691
516	0.2133171544
517	0.2133108244
518	0.213309939
519	0.2133041265
520	0.213303351
521	0.2133023834
522	0.2132966624
523	0.2132928719
524	0.2132877287
525	0.2132806989
526	0.2132749823
527	0.2132697508
528	0.2132622374
529	0.2132562295
530	0.2132547138
531	0.213253263
532	0.2132524519
533	0.2132479804
534	0.2132465985
535	0.2132350994
536	0.213234543
537	0.213233855
538	0.2132189699
539	0.2132093712
540	0.2132085028
541	0.2132057846
542	0.213200602
543	0.2131939848
544	0.2131803919
545	0.2131727421
546	0.2131666915
547	0.2131598409
548	0.2131465484
549	0.2131377953
550	0.2131301378
551	0.2131221231
552	0.2131148178
553	0.2131085201
554	0.2131011238
555	0.2130952999
556	0.2130906601
557	0.2130879081
558	0.2130810362
559	0.2130762088
560	0.213071764
561	0.2130674149
562	0.2130590787
563	0.2130538947
564	0.2130532521
565	0.2130499594
566	0.213049344
567	0.2130487611
568	0.2130400283
569	0.213039429
570	0.2130331464
571	0.2130301321
572	0.2130215255
573	0.213013984
574	0.2130090976
575	0.2129995634
576	0.2129956318
577	0.2129897704
578	0.2129891716
579	0.2129833825
580	0.2129770958
581	0.2129733794
582	0.2129686328
583	0.2129681349
584	0.212961966
585	0.2129559615
586	0.2129511687
587	0.2129438566
588	0.2129432065
589	0.2129426671
590	0.2129390048
591	0.2129287199
592	0.2129239964
593	0.2129207297
594	0.2129148451
595	0.212908149
596	0.2129034209
597	0.212897891
598	0.2128922902
599	0.212881452
600	0.2128737632
601	0.2128681148
602	0.2128640829
603	0.2128597465
604	0.212852961
605	0.2128485622
606	0.2128432877
607	0.2128427872
608	0.2128381485
609	0.2128337871
610	0.2128293674
611	0.2128238202
612	0.2128233064
613	0.2128171974
614	0.2128144302
615	0.2128135583
616	0.2128032001
617	0.2127967546
618	0.2127949164
619	0.2127884948
620	0.2127880018
621	0.2127803497
622	0.2127758553
623	0.2127714744
624	0.2127636911
625	0.2127631974
626	0.2127577304
627	0.2127573257
628	0.2127513808
629	0.2127509258
630	0.2127439237
631	0.2127387792
632	0.2127352693
633	0.2127346478
634	0.2127341608
635	0.2127275569
636	0.212722742
637	0.2127163092
638	0.2127107747
639	0.2127076789
640	0.2127058112
641	0.2126953071
642	0.21269501
643	0.2126944302
644	0.2126940111
645	0.2126934938
646	0.2126893917
647	0.2126889945
648	0.2126884404
649	0.2126879008
650	0.2126843499
651	0.2126838193
652	0.2126834167
653	0.2126829045
654	0.2126759805
655	0.212675688
656	0.2126753246
657	0.2126717613
658	0.2126660004
659	0.2126657164
660	0.2126614149
661	0.2126555299
662	0.2126501028
663	0.2126444918
664	0.2126439526
665	0.2126433511
666	0.2126430755
667	0.2126426103
668	0.2126423077
669	0.2126418986
670	0.2126412518
671	0.2126356752
672	0.2126351659
673	0.21263485
674	0.2126319332
675	0.2126273265
676	0.2126239108
677	0.2126196668
678	0.2126102406
679	0.2126041002
680	0.212603852
681	0.2126023453
682	0.2125997663
683	0.2125984127
684	0.2125929729
685	0.2125902254
686	0.212589958
687	0.212589698
688	0.2125894375
689	0.2125825563
690	0.2125756543
691	0.2125691372
692	0.2125688446
693	0.2125682657
694	0.2125604434
695	0.2125535554
696	0.2125434293
697	0.2125396415
698	0.2125348053
699	0.2125315985
700	0.2125248104
701	0.2125199736
702	0.2125141309
703	0.212505401
704	0.2124992642
705	0.2124944202
706	0.2124868689
707	0.2124866202
708	0.2124818062
709	0.2124768518
710	0.2124674988
711	0.2124624567
712	0.2124557621
713	0.2124554518
714	0.2124552374
715	0.2124502698
716	0.2124436244
717	0.2124414104
718	0.2124350219
719	0.2124319947
720	0.212421581
721	0.21241746
722	0.2124075653
723	0.2124063373
724	0.2124015814
725	0.2123959809
726	0.2123909322
727	0.2123907206
728	0.212386697
729	0.2123787903
730	0.2123736132
731	0.2123704721
732	0.2123697861
733	0.2123695812
734	0.212365378
735	0.2123583666
736	0.2123530421
737	0.212352818
738	0.2123501518
739	0.2123499529
740	0.2123491455
741	0.2123465091
742	0.2123422957
743	0.2123357407
744	0.2123308669
745	0.2123233648
746	0.2123222553
747	0.2123216489
748	0.2123143092
749	0.2123133596
750	0.2123075898
751	0.2123002467
752	0.2122955011
753	0.2122860285
754	0.2122830869
755	0.212278417
756	0.2122750555
757	0.2122693034
758	0.2122583602
759	0.2122521144
760	0.2122481331
761	0.2122421386
762	0.212235815
763	0.2122336598
764	0.2122290393
765	0.212222939
766	0.2122183202
767	0.2122138854
768	0.212210217
769	0.2122076144
770	0.2121966042
771	0.2121925809
772	0.2121905308
773	0.2121848589
774	0.212180593
775	0.2121776748
776	0.2121742571
777	0.2121701283
778	0.2121672448
779	0.2121618683
780	0.2121601002
781	0.2121591076
782	0.2121534456
783	0.2121498499
784	0.212147913
785	0.2121423626
786	0.2121359099
787	0.2121338179
788	0.2121336173
789	0.2121333218
790	0.2121331318
791	0.2121305906
792	0.212124875
793	0.2121226681
794	0.2121206646
795	0.2121175654
796	0.2121155706
797	0.2121093901
798	0.2121080836
799	0.2121035286
